Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
routines,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
routines,org.apache.commons.validator.routines,DomainValidator.Item,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
routines,org.apache.commons.validator.routines,IBANValidator.Validator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
