Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
routines,org.apache.commons.validator.routines,CurrencyValidator,3,0,4,3,58,8,0,3,1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\CurrencyValidator.java,22
routines,org.apache.commons.validator.routines,DateValidator,2,0,19,17,201,20,0,2,0.6842105263157895,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DateValidator.java,26
routines,org.apache.commons.validator.routines,DomainValidator,32,0,20,13,0,74,0,0,0.0,3,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,25
routines,org.apache.commons.validator.routines,DomainValidator.ArrayType,0,0,0,0,38,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,66
routines,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,1,0,0,0,7,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,102
routines,org.apache.commons.validator.routines,DomainValidator.Item,2,0,0,0,17,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,110
routines,org.apache.commons.validator.routines,DomainValidator.LazyHolder,2,0,0,0,10,0,0,0,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,131
routines,org.apache.commons.validator.routines,DoubleValidator,2,0,14,13,133,15,0,2,0.7857142857142857,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DoubleValidator.java,22
routines,org.apache.commons.validator.routines,EmailValidator,18,0,9,5,153,22,0,0,0.2222222222222222,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\EmailValidator.java,23
routines,org.apache.commons.validator.routines,FloatValidator,2,0,14,13,148,20,0,2,0.7857142857142857,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\FloatValidator.java,22
routines,org.apache.commons.validator.routines,IBANValidator,10,1,10,9,167,17,0,0,0.2,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\IBANValidator.java,27
routines,org.apache.commons.validator.routines,IBANValidator.Validator,6,0,0,0,55,0,0,0,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\IBANValidator.java,53
routines,org.apache.commons.validator.routines,InetAddressValidator,12,0,4,4,159,29,0,0,0.5,2,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\InetAddressValidator.java,28
routines,org.apache.commons.validator.routines,IntegerValidator,2,0,14,13,136,16,0,2,0.7857142857142857,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\IntegerValidator.java,22
routines,org.apache.commons.validator.routines,ISBNValidator,13,0,11,11,145,15,0,0,0.18181818181818182,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ISBNValidator.java,26
routines,org.apache.commons.validator.routines,ISINValidator,8,0,5,3,65,7,0,0,0.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ISINValidator.java,25
routines,org.apache.commons.validator.routines,ISSNValidator,9,0,6,6,103,11,0,0,0.3333333333333333,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ISSNValidator.java,25
routines,org.apache.commons.validator.routines,LongValidator,2,0,14,13,133,15,0,2,0.7857142857142857,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\LongValidator.java,22
routines,org.apache.commons.validator.routines,PercentValidator,4,0,4,3,61,9,0,3,1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\PercentValidator.java,23
routines,org.apache.commons.validator.routines,RegexValidator,2,0,10,9,146,28,0,0,0.5,7,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\RegexValidator.java,24
routines,org.apache.commons.validator.routines,ShortValidator,2,0,14,13,134,15,0,2,0.7857142857142857,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ShortValidator.java,22
