Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
validator,org.apache.commons.validator,ValidatorResult.ResultStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; valid; result
validator,org.apache.commons.validator,ValidatorResult.ResultStatus,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator,Var,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; JSTYPE_INT; JSTYPE_STRING; JSTYPE_REGEXP; name; value; jsType; resource; bundle
validator,org.apache.commons.validator.routines,AbstractCalendarValidator,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: processParsedValue
validator,org.apache.commons.validator.routines,AbstractNumberValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; STANDARD_FORMAT; CURRENCY_FORMAT; PERCENT_FORMAT; allowFractions; formatType
validator,org.apache.commons.validator.routines,AbstractNumberValidator,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: processParsedValue
validator,org.apache.commons.validator.routines,BigIntegerValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,ByteValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,CalendarValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,CalendarValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
validator,org.apache.commons.validator.routines,CreditCardValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,CreditCardValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: low; high; minLen; maxLen; lengths; serialVersionUID; MIN_CC_LENGTH; MAX_CC_LENGTH; NONE; AMEX; VISA; MASTERCARD; DISCOVER; DINERS; VPAY; MASTERCARD_PRE_OCT2016; LUHN_VALIDATOR; AMEX_VALIDATOR; DINERS_VALIDATOR; DISCOVER_REGEX; DISCOVER_VALIDATOR; MASTERCARD_REGEX; MASTERCARD_VALIDATOR; MASTERCARD_VALIDATOR_PRE_OCT2016; VISA_VALIDATOR; VPAY_VALIDATOR; serialVersionUID; ccr; cardTypes
