Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
commons-validator,org.apache.commons.validator,ValidatorResults,2,0,8,8,87,12,0,0,0.0,19,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\ValidatorResults.java,26
commons-validator,org.apache.commons.validator,Var,9,3,14,14,161,15,0,0,0.21428571428571427,2,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\Var.java,21
commons-validator,org.apache.commons.validator,AbstractCommonTest,2,0,1,0,18,1,13,0,0.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\AbstractCommonTest.java,24
commons-validator,org.apache.commons.validator,AbstractNumberTest,2,0,5,2,51,5,6,1,0.6,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\AbstractNumberTest.java,29
commons-validator,org.apache.commons.validator,ByteTest,0,0,7,7,56,7,0,2,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ByteTest.java,21
commons-validator,org.apache.commons.validator,CreditCardValidatorValidityTest,5,0,1,1,26,1,0,0,0.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\CreditCardValidatorValidityTest.java,24
commons-validator,org.apache.commons.validator,CustomCreditCardTypeTest,2,0,1,1,18,1,0,0,0.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\CustomCreditCardTypeTest.java,24
commons-validator,org.apache.commons.validator,CustomCreditCardTypeTest.DinersClub,1,0,0,0,7,0,0,0,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\CustomCreditCardTypeTest.java,29
commons-validator,org.apache.commons.validator,CustomValidatorResourcesTest,0,0,3,1,36,4,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\CustomValidatorResourcesTest.java,27
commons-validator,org.apache.commons.validator,DateTest,2,0,4,2,51,4,0,1,0.5,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\DateTest.java,29
commons-validator,org.apache.commons.validator,DoubleTest,0,0,5,5,40,5,0,2,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\DoubleTest.java,21
commons-validator,org.apache.commons.validator,EmailTest,3,0,15,13,256,17,0,1,0.2,0,8,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\EmailTest.java,30
commons-validator,org.apache.commons.validator,EntityImportTest,0,0,2,2,21,2,0,1,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\EntityImportTest.java,26
commons-validator,org.apache.commons.validator,ExceptionTest,2,0,4,3,68,4,0,1,0.5,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ExceptionTest.java,29
commons-validator,org.apache.commons.validator,ExtensionTest,5,0,10,8,184,10,0,0,0.2,0,8,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ExtensionTest.java,30
commons-validator,org.apache.commons.validator,FieldTest,1,0,15,11,186,15,0,0,0.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\FieldTest.java,26
commons-validator,org.apache.commons.validator,FloatTest,0,0,5,5,40,5,0,2,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\FloatTest.java,21
commons-validator,org.apache.commons.validator,GenericTypeValidatorImpl,0,0,14,14,154,16,0,0,-1.0,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\GenericTypeValidatorImpl.java,24
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,2,0,6,3,101,8,0,1,0.6666666666666666,0,4,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\GenericTypeValidatorTest.java,33
commons-validator,org.apache.commons.validator,GenericValidatorImpl,3,3,12,11,188,30,0,0,0.9166666666666666,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\GenericValidatorImpl.java,21
commons-validator,org.apache.commons.validator,GenericValidatorTest,0,0,2,2,33,2,0,0,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\GenericValidatorTest.java,24
commons-validator,org.apache.commons.validator,IntegerTest,0,0,7,7,56,7,0,2,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\IntegerTest.java,21
commons-validator,org.apache.commons.validator,ISBNValidatorTest,5,0,1,1,29,1,0,0,0.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ISBNValidatorTest.java,24
commons-validator,org.apache.commons.validator,LocaleTest,2,0,8,5,113,11,0,1,0.375,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\LocaleTest.java,30
commons-validator,org.apache.commons.validator,LongTest,0,0,7,7,56,7,0,2,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\LongTest.java,21
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,3,0,6,5,131,7,0,0,0.0,0,8,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\MultipleConfigFilesTest.java,30
commons-validator,org.apache.commons.validator,MultipleTest,2,0,10,8,168,10,0,1,0.3,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\MultipleTest.java,29
commons-validator,org.apache.commons.validator,NameBean,3,0,6,6,26,6,0,0,0.5,8,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\NameBean.java,19
commons-validator,org.apache.commons.validator,ParameterTest,4,0,5,1,57,5,0,1,0.4,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ParameterTest.java,31
commons-validator,org.apache.commons.validator,ParameterValidatorImpl,0,0,1,1,11,1,0,0,-1.0,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ParameterValidatorImpl.java,19
commons-validator,org.apache.commons.validator,RequiredIfTest,2,0,7,5,119,7,0,1,0.42857142857142855,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\RequiredIfTest.java,29
commons-validator,org.apache.commons.validator,RequiredNameTest,2,0,8,6,135,8,0,1,0.375,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\RequiredNameTest.java,29
commons-validator,org.apache.commons.validator,ResultPair,2,2,1,1,11,1,0,0,0.0,4,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ResultPair.java,19
commons-validator,org.apache.commons.validator,RetrieveFormTest,3,0,8,5,97,9,0,0,0.0,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\RetrieveFormTest.java,31
commons-validator,org.apache.commons.validator,ShortTest,0,0,5,5,41,5,0,2,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ShortTest.java,21
commons-validator,org.apache.commons.validator,TypeBean,8,0,16,16,61,16,0,0,0.5,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\TypeBean.java,19
commons-validator,org.apache.commons.validator,UrlTest,12,0,10,6,158,29,0,0,0.4,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\UrlTest.java,25
commons-validator,org.apache.commons.validator,ValidatorResourcesTest,0,0,1,1,16,1,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ValidatorResourcesTest.java,25
commons-validator,org.apache.commons.validator,ValidatorResultsTest,7,0,8,2,86,8,0,1,0.25,0,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ValidatorResultsTest.java,31
commons-validator,org.apache.commons.validator,ValidatorTest,2,0,8,7,222,10,0,0,0.625,0,10,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ValidatorTest.java,35
commons-validator,org.apache.commons.validator,ValidatorTest.TestBean,2,0,0,0,16,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ValidatorTest.java,40
commons-validator,org.apache.commons.validator,ValueBean,1,0,2,2,18,2,0,0,0.0,10,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\ValueBean.java,19
commons-validator,org.apache.commons.validator,VarTest,2,0,3,1,54,3,0,1,1.0,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\VarTest.java,33
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidator,3,0,17,7,301,45,3,1,0.23529411764705882,2,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\AbstractCalendarValidator.java,29
commons-validator,org.apache.commons.validator.routines,AbstractFormatValidator,2,0,14,10,139,17,2,0,0.21428571428571427,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\AbstractFormatValidator.java,24
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidator,6,3,12,7,0,31,8,1,0.16666666666666666,4,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\AbstractNumberValidator.java,27
commons-validator,org.apache.commons.validator.routines,BigDecimalValidator,2,0,12,10,121,14,2,2,1.0,5,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\BigDecimalValidator.java,24
commons-validator,org.apache.commons.validator.routines,BigIntegerValidator,2,0,11,10,102,11,0,2,1.0,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\BigIntegerValidator.java,23
commons-validator,org.apache.commons.validator.routines,ByteValidator,2,0,14,13,136,16,0,2,0.7857142857142857,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ByteValidator.java,22
commons-validator,org.apache.commons.validator.routines,CalendarValidator,2,0,19,18,188,20,0,2,0.9473684210526315,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\CalendarValidator.java,25
commons-validator,org.apache.commons.validator.routines,CodeValidator,5,0,12,12,151,19,0,0,0.0,8,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\CodeValidator.java,24
