Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-validator,org.apache.commons.validator,Field,getMessages,3,1,0,485,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,getMsg,4,1,1,495,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,getMsgMap,3,1,0,505,0,,
commons-validator,org.apache.commons.validator,Field,getPage,3,1,0,515,0,,
commons-validator,org.apache.commons.validator,Field,getProperty,3,1,0,524,0,,
commons-validator,org.apache.commons.validator,Field,getVar,3,1,1,532,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,getVarMap,3,1,0,541,0,,
commons-validator,org.apache.commons.validator,Field,getVars,3,1,0,551,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,getVarValue,8,2,1,560,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,handleMissingAction,3,1,1,576,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,isClientValidation,3,1,0,587,0,,
commons-validator,org.apache.commons.validator,Field,isDependency,3,1,1,598,0,,
commons-validator,org.apache.commons.validator,Field,isIndexed,3,1,0,607,0,,
commons-validator,org.apache.commons.validator,Field,process,28,4,2,617,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,processArg,12,5,2,665,0,,
commons-validator,org.apache.commons.validator,Field,processMessageComponents,9,3,2,682,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,processVars,6,2,2,697,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,runDependentValidators,16,5,5,708,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,setClientValidation,3,1,1,746,0,,
commons-validator,org.apache.commons.validator,Field,setDepends,11,3,1,757,0,,
commons-validator,org.apache.commons.validator,Field,setFieldOrder,3,1,1,776,0,,
commons-validator,org.apache.commons.validator,Field,setIndexedListProperty,3,1,1,784,0,,
commons-validator,org.apache.commons.validator,Field,setIndexedProperty,3,1,1,791,0,,
commons-validator,org.apache.commons.validator,Field,setKey,3,1,1,799,0,,
commons-validator,org.apache.commons.validator,Field,setPage,3,1,1,808,0,,
commons-validator,org.apache.commons.validator,Field,setProperty,3,1,1,817,0,,
commons-validator,org.apache.commons.validator,Field,toString,21,3,0,825,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,validate,26,6,2,855,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,validateForRule,10,3,5,903,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Form,addField,4,1,1,75,0,org.apache.commons.validator.Form,org.apache.commons.validator.Form
commons-validator,org.apache.commons.validator,Form,containsField,3,1,1,85,0,org.apache.commons.validator.Form,org.apache.commons.validator.Form
